1,pistol,22,17,500,300,150,0,10,350,20,1,1
2,magnum,36,14,500,300,175,0,15,500,10,1,1
3,shotgun,42,14,500,300,75,0,15,450,0,10,0
4,sniper,72,21,500,300,400,0,25,1000,5,1,1
5,ak,45,15,500,300,200,0,15,500,20,3,2
6,rpg,74,20,500,300,250,1,30,1300,5,1,1
7,lance_flammes,48,18,500,300,200,0,20,0,0,0,1
8,minigun,48,18,500,300,175,0,20,150,30,1,1
9,lance_grenades,48,18,500,300,600,1,20,200,0,1,1
10,laser,40,20,500,300,200,0,15,200,10,1,1
11,plasma,43,20,500,300,200,0,20,250,0,20,0
12,knife,46,12,500,300,10,0,20,50,10,1,1
